Date,PEP,KO
2021-06-24,4.881550960127862,3.8981900531041456
2021-06-25,4.886617999127684,3.89690224166076
2021-06-28,4.890911709494745,3.895797258982146
2021-06-29,4.8902317548585,3.888397724647802
2021-06-30,4.89856740219678,3.8930287488220876
2021-07-01,4.898769698108145,3.8902527866493246
2021-07-02,4.903549386725993,3.8943216326946346
2021-07-06,4.905025746600689,3.8887693404238646
2021-07-07,4.90944156815609,3.89690224166076
2021-07-08,4.909908912651442,3.8933983370199967
2021-07-09,4.907369930886557,3.89947628547924
2021-07-12,4.90757034130566,3.8998434988452986
2021-07-13,4.930383798962445,3.9097066345257647
2021-07-14,4.940660146248981,3.9319935401047656
2021-07-15,4.945243978877602,3.935187828304508
2021-07-16,4.948908679556459,3.934478934053607
2021-07-19,4.948780451655591,3.922528466120696
2021-07-20,4.948908679556459,3.924321186823137
2021-07-21,4.945179360076646,3.937135035100418
2021-07-22,4.944857507121997,3.935719281162352
2021-07-23,4.957598623214648,3.94523641603115
2021-07-26,4.956899003802662,3.946113089643765
2021-07-27,4.962422523627799,3.9496121186818196
2021-07-28,4.953199311291834,3.9404893188415637
2021-07-29,4.955241894541844,3.9459379491446875
2021-07-30,4.956134442716347,3.9455872809943533
2021-08-02,4.9521124963231555,3.942953638792033
2021-08-03,4.954349087089492,3.9436564050237886
2021-08-04,4.937484489662844,3.929145548185309
2021-08-05,4.9391706071099355,3.9362505261958205
2021-08-06,4.93930040086151,3.9387252268316626
2021-08-09,4.9394299593033635,3.9389018578371022
2021-08-10,4.939948134458265,3.9415460303543637
2021-08-11,4.943890238789203,3.9403128938673837
2021-08-12,4.944083789064002,3.9422500082210568
2021-08-13,4.953391068325488,3.9490880736004805
2021-08-16,4.963118824049205,3.9534468451704146
2021-08-17,4.962169067321604,3.949961378532198
2021-08-18,4.951856305138193,3.9362505261958205
2021-08-19,4.968545168635052,3.942601922391676
2021-08-20,4.965014996826269,3.9387252268316626
2021-08-23,4.961852530412135,3.935187828304508
2021-08-24,4.949357834461546,3.9275399623152625
2021-08-25,4.944921820819903,3.9286106642911207
2021-08-26,4.941242235297554,3.9191132883749353
2021-08-27,4.943245163238606,3.9210919417452845
2021-08-30,4.950063288286525,3.9305705580269414
2021-08-31,4.952560214842501,3.932881970139989
2021-09-01,4.962232597576147,3.9396076989482216
2021-09-02,4.962965306128139,3.9410178882914364
2021-09-03,4.963857066416565,3.9403128938673837
2021-09-07,4.947426292401731,3.921451077403132
2021-09-08,4.961499031223217,3.9348334439954384
2021-09-09,4.955161897087957,3.924858369400148
2021-09-10,4.953426722461201,3.9203729049648866
2021-09-13,4.9553545682723845,3.9286106642911207
2021-09-14,4.951430505057089,3.9293292031835003
2021-09-15,4.957022545817865,3.932735136495183
2021-09-16,4.954069571365612,3.9232052908695336
2021-09-17,4.94483469214742,3.906627770500394
2021-09-20,4.941455048924534,3.899623295151745
2021-09-21,4.940999275858481,3.899438042426868
2021-09-22,4.944055628740428,3.9009171755474785
2021-09-23,4.94483469214742,3.8992530644749555
2021-09-24,4.945288503688734,3.8964737388832487
2021-09-27,4.935644332562671,3.8912643655724533
2021-09-28,4.924649004096407,3.873005085431646
2021-09-29,4.932890706321526,3.879065474451132
2021-09-30,4.920403182126151,3.86977019155504
2021-10-01,4.923986954893615,3.880197911806406
2021-10-04,4.919006115915738,3.8796317746248996
2021-10-05,4.92491381192966,3.8813287535096754
2021-10-06,4.950205075786206,3.893127806260321
2021-10-07,4.959391147863579,3.8962881342321687
2021-10-08,4.957086511185577,3.900732239544877
2021-10-11,4.958431519043496,3.902762808844571
2021-10-12,4.962838014539269,3.902762808844571
2021-10-13,4.969569977060982,3.9029472927479114
2021-10-14,4.9775763039203405,3.909745557443748
2021-10-15,4.974746548183798,3.90736235063885
2021-10-18,4.970202640785407,3.8974009360829305
2021-10-19,4.982837010933313,3.9012864822754882
2021-10-20,4.990366047940662,3.9101118480543704
2021-10-21,4.977073692544506,3.9049732200873155
2021-10-22,4.982024518491018,3.9068116962071993
2021-10-25,4.977324977224284,3.902762808844571
2021-10-26,4.989497938555878,3.90717875618629
2021-10-27,4.986017111108979,3.9262719724142183
2021-10-28,4.9922861083330305,3.9355942500720684
2021-10-29,4.992162287833223,3.9414658045159934
2021-11-01,4.990056132465161,3.937911489474095
2021-11-02,4.999192099394776,3.9366643322855532
2021-11-03,5.008732443156514,3.940045638629365
2021-11-04,5.008792981217596,3.945537554941366
2021-11-05,5.019025897642899,3.9497688378627127
2021-11-08,4.997285162755399,3.9407559366150564
2021-11-09,5.0039121010950645,3.9435922418968516
2021-11-10,5.007148080692519,3.9476554343697647
2021-11-11,4.998884804704264,3.948008027667653
2021-11-12,4.998638777400581,3.945714314667521
2021-11-15,5.005684398947422,3.945890821895316
2021-11-16,5.0026885597642154,3.938801290433349
2021-11-17,5.003055676880492,3.9332720020470924
2021-11-18,5.003361692748973,3.9242887055259743
2021-11-19,5.005745428478834,3.919222823979684
2021-11-22,5.007818729574507,3.9253709476653045
2021-11-23,5.0144977592467015,3.932735136495183
2021-11-24,5.005317938986382,3.9246496332845133
2021-11-26,4.9893118392971045,3.8935001557909112
2021-11-29,5.007758030485224,3.909196137623133
2021-11-30,4.980836034276858,3.877113839893698
2021-12-01,4.983211382779904,3.8742497854107847
2021-12-02,4.992814167905613,3.888865228930904
2021-12-03,5.017959177907491,3.897682542081157
2021-12-06,5.028287512503893,3.922948969465086
2021-12-07,5.027145084618646,3.9283976063128416
2021-12-08,5.028888203436406,3.924586725189415
2021-12-09,5.027626155432113,3.922037995197998
2021-12-10,5.0434941236423105,3.947592779003671
2021-12-13,5.048452975496393,3.973549965878569
2021-12-14,5.045976476053244,3.9742423883697096
2021-12-15,5.058764510100858,3.978730593489304
2021-12-16,5.060220439958045,3.9888410558366685
2021-12-17,5.039521001705843,3.9730304956920213
2021-12-20,5.046153796807808,3.9697339484126983
2021-12-21,5.04319798127837,3.9737231343870962
2021-12-22,5.049394615894024,3.9807952104802067
2021-12-23,5.048276257936439,3.9814824936998683
2021-12-27,5.058181117306202,3.9888410558366685
2021-12-28,5.063358260595504,3.992754891128844
2021-12-29,5.066891088059978,3.9939431985083083
2021-12-30,5.065154940504787,3.9910551882327314
2021-12-31,5.0711601483748,3.9983441100040302
2022-01-03,5.066948782764236,3.999862737712932
2022-01-04,5.068392950103156,4.01641972365252
2022-01-05,5.071793244868497,4.024678919723627
2022-01-06,5.07202325807135,4.019401008210125
2022-01-07,5.073287768050121,4.017083030386523
2022-01-10,5.073804737299864,4.018739306305608
2022-01-11,5.073345285972177,4.019070109165788
2022-01-12,5.072253218380296,4.020557814230339
2022-01-13,5.07386213000286,4.02648666815659
2022-01-14,5.08220934481841,4.034500408923703
2022-01-18,5.07259834656097,4.02648666815659
2022-01-19,5.07975809420809,4.028127318908005
2022-01-20,5.072483125819656,4.024020702169708
2022-01-21,5.074091858822654,4.019070109165788
2022-01-24,5.068970033570891,4.010931246564718
2022-01-25,5.0574227605352595,4.008593598851544
2022-01-26,5.046802722912874,4.004909095824955
2022-01-27,5.0458585393599735,4.005747789419193
2022-01-28,5.065154940504787,4.025500929628989
2022-01-31,5.070065690548083,4.0282912224509
2022-02-01,5.06324197020853,4.020888153017426
2022-02-02,5.0812407698027435,4.031073818928719
2022-02-03,5.080670726311537,4.038077739214575
2022-02-04,5.064112227591339,4.027471435960546
2022-02-07,5.060161968504441,4.037915432022534
2022-02-08,5.061383543530104,4.04438806110263
2022-02-09,5.060918445078542,4.028782907727505
2022-02-10,5.039936688426133,4.034337655038507
2022-02-11,5.041183403472173,4.01641972365252
2022-02-14,5.029968778126902,4.022867624261
2022-02-15,5.025519597037668,4.026650908837729
2022-02-16,5.0275663467897465,4.02648666815659
2022-02-17,5.030268564412952,4.0463214682810165
2022-02-18,5.036009085010543,4.053059835896201
2022-02-22,5.039818037222448,4.048893876132032
2022-02-23,5.029908510733231,4.037753031202557
2022-02-24,5.012357849359254,4.020062135593017
2022-02-25,5.039996156922023,4.05800448710057
2022-02-28,5.012052644486465,4.048251477495211
2022-03-01,5.003034561816513,4.04390392406809
2022-03-02,5.016805084851774,4.051299534174421
2022-03-03,5.015733765658724,4.051939978350836
2022-03-04,5.030809049985572,4.053539362825156
2022-03-07,5.010698565206576,4.029437931348266
2022-03-08,4.982100406968488,3.989011596776127
2022-03-09,4.979118633710943,3.994112801332008
2022-03-10,4.960587197948764,3.9756253671077606
2022-03-11,4.9555262422863215,3.976316282987363
2022-03-14,4.969479033849443,3.9945894751025324
2022-03-15,4.9892325469588386,4.01287036136183
2022-03-16,4.993625290892659,4.0101829997126135
2022-03-17,5.0013600303372705,4.020722552432655
2022-03-18,5.012789446039623,4.020888974109025
2022-03-21,5.011375681562893,4.028843935614315
2022-03-22,5.022265902267917,4.032468982649159
2022-03-23,5.017018988660776,4.025868380587853
2022-03-24,5.023056708930879,4.0354251256762
2022-03-25,5.027727261908069,4.04440416823417
2022-03-28,5.030688313697456,4.0507224381636115
2022-03-29,5.045422612625694,4.05459088032467
2022-03-30,5.0440542701768,4.055394889807918
2022-03-31,5.04059499126703,4.052013670795022
2022-04-01,5.054714186194294,4.065948352950344
2022-04-04,5.05211888611886,4.060685609017253
2022-04-05,5.053181387441112,4.059565705850572
2022-04-06,5.070087641291479,4.069599968262105
2022-04-07,5.0710154581860705,4.07497378746497
2022-04-08,5.074371262439508,4.081102478777686
2022-04-11,5.071305392053881,4.080789191489394
2022-04-12,5.075352517832461,4.0924741847005155
2022-04-13,5.073620217974092,4.095103970758881
2022-04-14,5.067241339832857,4.099574038877433
2022-04-18,5.058594356703039,4.090613767561936
2022-04-19,5.073041703046342,4.1003428228483205
2022-04-20,5.087796374901934,4.113927770489589
2022-04-21,5.084199731284822,4.117710765755481
2022-04-22,5.068694587829321,4.103105246565747
2022-04-25,5.07788857557403,4.113624414437144
2022-04-26,5.075352517832461,4.100035506614782
2022-04-27,5.084256908518526,4.107844914497861
2022-04-28,5.099299179656349,4.117408617431404
